country,code,name
CM,CM-EN,
CM,CM-LT,
CM,CM-NO,
CM,CM-NW,
CM,CM-OU,
CM,CM-SU,
CM,CM-SW,
CN,CN-AH,
CN,CN-BJ,
CN,CN-CQ,
CN,CN-FJ,
CN,CN-GS,
CN,CN-GD,
CN,CN-GX,
CN,CN-GZ,
CN,CN-HI,
CN,CN-HE,
CN,CN-HL,
CN,CN-HA,
CN,CN-HB,
CN,CN-HN,
CN,CN-JS,
CN,CN-JX,
CN,CN-JL,
CN,CN-LN,
CN,CN-NM,
CN,CN-NX,
CN,CN-QH,
CN,CN-SN,
CN,CN-SD,
CN,CN-SH,
CN,CN-SX,
CN,CN-SC,
CN,CN-TJ,
CN,CN-XJ,
CN,CN-XZ,
CN,CN-YN,
CN,CN-ZJ,
CO,CO-AMA,
CO,CO-ANT,
CO,CO-ARA,
CO,CO-ATL,
CO,CO-BOL,
CO,CO-BOY,
CO,CO-CAL,
CO,CO-CAQ,
CO,CO-CAS,
CO,CO-CAU,
CO,CO-CES,
CO,CO-CHO,
CO,CO-COR,
CO,CO-CUN,
CO,CO-DC,
CO,CO-GUA,
CO,CO-GUV,
CO,CO-HUI,
CO,CO-LAG,
CO,CO-MAG,
CO,CO-MET,
CO,CO-NAR,
CO,CO-NSA,
CO,CO-PUT,
CO,CO-QUI,
CO,CO-RIS,
CO,CO-SAP,
CO,CO-SAN,
CO,CO-SUC,
CO,CO-TOL,
CO,CO-VAC,
CO,CO-VID,
CR,CR-A,
CR,CR-C,
CR,CR-G,
CR,CR-H,
CR,CR-L,
CR,CR-P,
CR,CR-SJ,
CU,CU-15,
CU,CU-09,
CU,CU-08,
CU,CU-06,
CU,CU-12,
CU,CU-14,
CU,CU-11,
CU,CU-03,
CU,CU-10,
CU,CU-04,
CU,CU-16,
CU,CU-01,
CU,CU-07,
CU,CU-13,
CU,CU-05,
CV,CV-BV,
CV,CV-BR,
CV,CV-MO,
CV,CV-PN,
CV,CV-PR,
CV,CV-RS,
CV,CV-SL,
CV,CV-CR,
CV,CV-SD,
CV,CV-SO,
CV,CV-SV,
CV,CV-TA,
CV,CV-TS,
CW,CW-XX-1,
CX,CX-XX-1,
CY,CY-04,
CY,CY-06,
CY,CY-03,
CY,CY-01,
CY,CY-02,
CY,CY-05,
CZ,CZ-31,
CZ,CZ-64,
CZ,CZ-41,
CZ,CZ-63,
CZ,CZ-52,
CZ,CZ-51,
CZ,CZ-80,
CZ,CZ-71,
CZ,CZ-53,
CZ,CZ-32,
CZ,CZ-10,
CZ,CZ-20,
CZ,CZ-42,
CZ,CZ-72,
DE,DE-BW,
DE,DE-BY,
DE,DE-BE,
DE,DE-BB,
DE,DE-HB,
DE,DE-HH,
DE,DE-HE,
DE,DE-MV,
DE,DE-NI,
DE,DE-NW,
DE,DE-RP,
DE,DE-SL,
DE,DE-SN,
DE,DE-ST,
DE,DE-SH,
DE,DE-TH,
DJ,DJ-AR,
DJ,DJ-DJ,
DK,DK-84,
DK,DK-82,
DK,DK-81,
DK,DK-85,
DK,DK-83,
DM,DM-02,
DM,DM-04,
DM,DM-05,
DM,DM-06,
DM,DM-07,
DM,DM-09,
DM,DM-10,
DO,DO-02,
DO,DO-03,
DO,DO-04,
DO,DO-05,
DO,DO-01,
DO,DO-06,
DO,DO-08,
DO,DO-07,
DO,DO-09,
DO,DO-30,
DO,DO-19,
DO,DO-10,
DO,DO-11,
DO,DO-12,
DO,DO-13,
DO,DO-14,
DO,DO-28,
DO,DO-15,
DO,DO-29,
DO,DO-17,
DO,DO-18,
DO,DO-20,
DO,DO-21,
DO,DO-31,
DO,DO-22,
DO,DO-23,
DO,DO-24,
DO,DO-25,
DO,DO-26,
DO,DO-27,
DZ,DZ-01,
DZ,DZ-44,
DZ,DZ-46,
DZ,DZ-16,
DZ,DZ-23,
DZ,DZ-05,
DZ,DZ-08,
DZ,DZ-06,
DZ,DZ-07,
DZ,DZ-09,
DZ,DZ-34,
DZ,DZ-10,
DZ,DZ-35,
DZ,DZ-02,
DZ,DZ-25,
DZ,DZ-17,
DZ,DZ-32,
DZ,DZ-39,
DZ,DZ-36,
DZ,DZ-47,
DZ,DZ-24,
DZ,DZ-33,
DZ,DZ-18,
DZ,DZ-40,
DZ,DZ-03,
DZ,DZ-28,
DZ,DZ-29,
DZ,DZ-26,
DZ,DZ-43,
DZ,DZ-27,
DZ,DZ-45,
DZ,DZ-31,
DZ,DZ-30,
DZ,DZ-04,
DZ,DZ-48,
DZ,DZ-20,
DZ,DZ-19,
DZ,DZ-22,
DZ,DZ-21,
DZ,DZ-41,
DZ,DZ-11,
DZ,DZ-12,
DZ,DZ-14,
DZ,DZ-37,
DZ,DZ-42,
DZ,DZ-38,
DZ,DZ-15,
DZ,DZ-13,
EC,EC-A,
EC,EC-B,
EC,EC-F,
EC,EC-C,
EC,EC-H,
EC,EC-X,
EC,EC-O,
EC,EC-E,
EC,EC-W,
EC,EC-G,
EC,EC-I,
EC,EC-L,
EC,EC-R,
EC,EC-M,
EC,EC-S,
EC,EC-N,
EC,EC-D,
EC,EC-Y,
EC,EC-P,
EC,EC-SE,
EC,EC-SD,
EC,EC-U,
EC,EC-T,
EC,EC-Z,
EE,EE-37,
EE,EE-39,
EE,EE-45,
EE,EE-52,
EE,EE-50,
EE,EE-60,
EE,EE-56,
EE,EE-68,
EE,EE-64,
EE,EE-71,
EE,EE-74,
EE,EE-79,
EE,EE-81,
EE,EE-84,
EE,EE-87,
EG,EG-DK,
EG,EG-BA,
EG,EG-BH,
EG,EG-FYM,
EG,EG-GH,
EG,EG-ALX,
EG,EG-IS,
EG,EG-GZ,
EG,EG-MNF,
EG,EG-MN,
EG,EG-C,
EG,EG-KB,
EG,EG-LX,
EG,EG-WAD,
EG,EG-SUZ,
EG,EG-SHR,
EG,EG-ASN,
EG,EG-AST,
EG,EG-BNS,
EG,EG-PTS,
EG,EG-DT,
EG,EG-JS,
EG,EG-KFS,
EG,EG-MT,
EG,EG-KN,
EG,EG-SIN,
EG,EG-SHG,
EH,EH-XX-1,
ER,ER-MA,
ER,ER-DK,
ER,ER-SK,
ES,ES-AN,
ES,ES-AR,
ES,ES-AS,
ES,ES-CN,
ES,ES-CB,
ES,ES-CL,
ES,ES-CM,
ES,ES-CT,
ES,ES-CE,
ES,ES-EX,
ES,ES-GA,
ES,ES-IB,
ES,ES-RI,
ES,ES-MD,
ES,ES-ML,
ES,ES-MC,
ES,ES-NC,
ES,ES-PV,
ES,ES-VC,
ET,ET-AA,
ET,ET-AF,
ET,ET-AM,
ET,ET-BE,
ET,ET-DD,
ET,ET-GA,
ET,ET-HA,
ET,ET-OR,
ET,ET-SO,
ET,ET-TI,
ET,ET-SN,
FI,FI-02,
FI,FI-03,
FI,FI-04,
FI,FI-05,
FI,FI-06,
FI,FI-07,
FI,FI-08,
FI,FI-09,
FI,FI-10,
FI,FI-16,
FI,FI-11,
FI,FI-12,
FI,FI-13,
FI,FI-14,
FI,FI-15,
FI,FI-17,
FI,FI-18,
FI,FI-19,
FJ,FJ-C,
FJ,FJ-E,
FJ,FJ-N,
FJ,FJ-R,
FJ,FJ-W,
FK,FK-XX-1,
FM,FM-TRK,
FM,FM-KSA,
FM,FM-PNI,
FM,FM-YAP,
FO,FO-XX-1,
FO,FO-XX-2,
FO,FO-XX-3,
FO,FO-XX-4,
FO,FO-XX-5,
FR,FR-ARA,
FR,FR-BFC,
FR,FR-BRE,
FR,FR-CVL,
FR,FR-20R,
FR,FR-GES,
FR,FR-HDF,
FR,FR-IDF,
FR,FR-NOR,
FR,FR-NAQ,
FR,FR-OCC,
FR,FR-PDL,
FR,FR-PAC,
GA,GA-1,
GA,GA-2,
GA,GA-4,
GA,GA-5,
GA,GA-8,
GA,GA-9,
GB,GB-ENG,
GB,GB-NIR,
GB,GB-SCT,
GB,GB-WLS,
GD,GD-01,
GD,GD-02,
GD,GD-03,
GD,GD-04,
GD,GD-05,
GD,GD-06,
GD,GD-10,
GE,GE-AB,Աբխազիայի Ինքնավար Հանրապետություն
GE,GE-AJ,Աջարիա
GE,GE-GU,Գուրիայի մարզ
GE,GE-IM,Իմերեթի մարզ
GE,GE-KA,Կախեթի մարզ
GE,GE-KK,Քվեմո Քարթլիի մարզ
GE,GE-MM,Մցխեթ-Մթիանեթ
GE,GE-RL,Ռաճա-Լեչխում և Քվեմո Սվանեթ
GE,GE-SZ,Սամեգրելո-Զեմո Սվանեթ
GE,GE-SJ,Սամցխե-Ջավախքի մարզ
GE,GE-SK,Շիդա Քարթլիի մարզ
GE,GE-TB,Թբիլիսի
GF,GF-XX-1,
GG,GG-XX-1,
GH,GH-AF,
GH,GH-AH,
GH,GH-BO,
GH,GH-BE,
GH,GH-CP,
GH,GH-EP,
GH,GH-AA,
GH,GH-NP,
GH,GH-UE,
GH,GH-UW,
GH,GH-TV,
GH,GH-WP,
GI,GI-XX-1,
GL,GL-AV,
GL,GL-KU,
GL,GL-QT,
GL,GL-SM,
GL,GL-QE,
GM,GM-B,
GM,GM-M,
GM,GM-L,
GM,GM-N,
GM,GM-U,
GM,GM-W,
GN,GN-BF,
GN,GN-B,
GN,GN-C,
GN,GN-CO,
GN,GN-DB,
GN,GN-DU,
GN,GN-K,
GN,GN-L,
GN,GN-LA,
GN,GN-MC,
GN,GN-N,
GN,GN-SI,
GP,GP-XX-1,
GQ,GQ-BN,
GQ,GQ-KN,
GQ,GQ-LI,
GQ,GQ-WN,
GR,GR-A,
GR,GR-I,
GR,GR-G,
GR,GR-C,
GR,GR-F,
GR,GR-D,
GR,GR-B,
GR,GR-M,
GR,GR-L,
GR,GR-J,
GR,GR-H,
GR,GR-E,
GR,GR-K,
GS,GS-XX-1,
GT,GT-16,
GT,GT-15,
GT,GT-04,
GT,GT-20,
GT,GT-02,
GT,GT-05,
GT,GT-01,
GT,GT-13,
GT,GT-18,
GT,GT-21,
GT,GT-22,
GT,GT-17,
GT,GT-09,
GT,GT-14,
GT,GT-11,
GT,GT-03,
GT,GT-12,
GT,GT-06,
GT,GT-07,
GT,GT-10,
GT,GT-08,
GT,GT-19,
GU,GU-XX-1,
GU,GU-XX-2,
GU,GU-XX-3,
GU,GU-XX-4,
GU,GU-XX-5,
GU,GU-XX-6,
GU,GU-XX-7,
GU,GU-XX-8,
GU,GU-XX-9,
GU,GU-XX-10,
GU,GU-XX-11,
GU,GU-XX-12,
GU,GU-XX-13,
GU,GU-XX-14,
GU,GU-XX-15,
GU,GU-XX-16,
GW,GW-BS,
GW,GW-GA,
GY,GY-CU,
GY,GY-DE,
GY,GY-EB,
GY,GY-ES,
GY,GY-MA,
GY,GY-PT,
GY,GY-UD,
HK,HK-XX-1,
HM,HM-XX-1,
HN,HN-AT,
HN,HN-CH,
HN,HN-CL,
HN,HN-CM,
HN,HN-CP,
HN,HN-CR,
HN,HN-EP,
HN,HN-FM,
HN,HN-GD,
HN,HN-IN,
HN,HN-IB,
HN,HN-LP,
HN,HN-LE,
HN,HN-OC,
HN,HN-OL,
HN,HN-SB,
HN,HN-VA,
HN,HN-YO,
HR,HR-07,
HR,HR-12,
HR,HR-19,
HR,HR-21,
HR,HR-18,
HR,HR-04,
HR,HR-06,
HR,HR-02,
HR,HR-09,
HR,HR-20,
HR,HR-14,
HR,HR-11,
HR,HR-08,
HR,HR-15,
HR,HR-03,
HR,HR-17,
HR,HR-05,
HR,HR-10,
HR,HR-16,
HR,HR-13,
HR,HR-01,
HT,HT-AR,
HT,HT-CE,
HT,HT-GA,
HT,HT-NI,
HT,HT-ND,
HT,HT-OU,
HT,HT-SD,
HT,HT-SE,
HU,HU-BK,
HU,HU-BA,
HU,HU-BE,
HU,HU-BZ,
HU,HU-BU,
HU,HU-CS,
HU,HU-FE,
HU,HU-GS,
HU,HU-HB,
HU,HU-HE,
HU,HU-JN,
HU,HU-KE,
HU,HU-NO,
HU,HU-PE,
HU,HU-SO,
HU,HU-SZ,
HU,HU-TO,
HU,HU-VA,
HU,HU-VE,
HU,HU-ZA,
ID,ID-AC,
ID,ID-BA,
ID,ID-BT,
ID,ID-BE,
ID,ID-GO,
ID,ID-JK,
ID,ID-JA,
ID,ID-JB,
ID,ID-JT,
ID,ID-JI,
ID,ID-KB,
ID,ID-KS,
ID,ID-KT,
ID,ID-KI,
ID,ID-KU,
ID,ID-BB,
ID,ID-KR,
ID,ID-LA,
ID,ID-ML,
ID,ID-MU,
ID,ID-NB,
ID,ID-NT,
ID,ID-PP,
ID,ID-PB,
ID,ID-RI,
ID,ID-SR,
ID,ID-SN,
ID,ID-ST,
ID,ID-SG,
ID,ID-SA,
ID,ID-SB,
ID,ID-SS,
ID,ID-SU,
ID,ID-YO,
IE,IE-CW,
IE,IE-CN,
IE,IE-CE,
IE,IE-CO,
IE,IE-DL,
IE,IE-D,
IE,IE-G,
IE,IE-KY,
IE,IE-KE,
IE,IE-KK,
IE,IE-LS,
IE,IE-LM,
IE,IE-LK,
IE,IE-LD,
IE,IE-LH,
IE,IE-MO,
IE,IE-MH,
IE,IE-MN,
IE,IE-OY,
IE,IE-RN,
IE,IE-SO,
IE,IE-TA,
IE,IE-WD,
IE,IE-WH,
IE,IE-WX,
IE,IE-WW,
IL,IL-D,
IL,IL-M,
IL,IL-Z,
IL,IL-HA,
IL,IL-TA,
IL,IL-JM,
IM,IM-XX-1,
IN,IN-AN,
IN,IN-AP,
IN,IN-AR,
IN,IN-AS,
IN,IN-BR,
IN,IN-CH,
IN,IN-CT,
IN,IN-DN,
IN,IN-DH,
IN,IN-DL,
IN,IN-GA,
IN,IN-GJ,
IN,IN-HR,
IN,IN-HP,
IN,IN-JK,
IN,IN-JH,
IN,IN-KA,
IN,IN-KL,
IN,IN-LD,
IN,IN-MP,
IN,IN-MH,
IN,IN-MN,
IN,IN-ML,
IN,IN-MZ,
IN,IN-NL,
IN,IN-OR,
IN,IN-PY,
IN,IN-PB,
IN,IN-RJ,
IN,IN-SK,
IN,IN-TN,
IN,IN-TG,
IN,IN-TR,
IN,IN-UP,
IN,IN-UT,
IN,IN-WB,
IO,IO-XX-1,
IQ,IQ-AN,
IQ,IQ-BA,
IQ,IQ-MU,
IQ,IQ-QA,
IQ,IQ-NA,
IQ,IQ-AR,
IQ,IQ-SU,
IQ,IQ-BB,
IQ,IQ-BG,
IQ,IQ-DA,
IQ,IQ-DQ,
IQ,IQ-DI,
IQ,IQ-KA,
IQ,IQ-KI,
IQ,IQ-MA,
IQ,IQ-NI,
IQ,IQ-SD,
IQ,IQ-WA,
IR,IR-30,
IR,IR-24,
IR,IR-04,
IR,IR-03,
IR,IR-18,
IR,IR-14,
IR,IR-10,
IR,IR-07,
IR,IR-01,
IR,IR-27,
IR,IR-13,
IR,IR-22,
IR,IR-16,
IR,IR-08,
IR,IR-05,
IR,IR-29,
IR,IR-09,
IR,IR-28,
IR,IR-06,
IR,IR-17,
IR,IR-12,
IR,IR-15,
IR,IR-00,
IR,IR-02,
IR,IR-26,
IR,IR-25,
IR,IR-20,
IR,IR-11,
IR,IR-23,
IR,IR-21,
IR,IR-19,
IS,IS-7,
IS,IS-1,
IS,IS-6,
IS,IS-5,
IS,IS-8,
IS,IS-2,
IS,IS-4,
IS,IS-3,
IT,IT-65,
IT,IT-77,
IT,IT-78,
IT,IT-72,
IT,IT-45,
IT,IT-36,
IT,IT-62,
IT,IT-42,
IT,IT-25,
IT,IT-57,
IT,IT-67,
IT,IT-21,
IT,IT-75,
IT,IT-88,
IT,IT-82,
IT,IT-52,
IT,IT-32,
IT,IT-55,
IT,IT-23,
IT,IT-34,
JE,JE-XX-1,
JM,JM-13,
JM,JM-09,
JM,JM-01,
JM,JM-12,
JM,JM-04,
JM,JM-02,
JM,JM-06,
JM,JM-14,
JM,JM-11,
JM,JM-08,
JM,JM-05,
JM,JM-03,
JM,JM-07,
JM,JM-10,
JO,JO-AJ,
JO,JO-AQ,
JO,JO-AM,
JO,JO-BA,
JO,JO-KA,
JO,JO-MA,
JO,JO-AT,
JO,JO-AZ,
JO,JO-IR,
JO,JO-JA,
JO,JO-MN,
JO,JO-MD,
JP,JP-23,
JP,JP-05,
JP,JP-02,
JP,JP-12,
JP,JP-38,
JP,JP-18,
JP,JP-40,
JP,JP-07,
JP,JP-21,
JP,JP-10,
JP,JP-34,
JP,JP-01,
JP,JP-28,
JP,JP-08,
JP,JP-17,
JP,JP-03,
JP,JP-37,
JP,JP-46,
JP,JP-14,
JP,JP-39,
JP,JP-43,
JP,JP-26,
JP,JP-24,
JP,JP-04,
